doi	received	accepted	published
10.1371/journal.pntd.0002057	2012-09-19	2012-12-28	2013-02-28
10.1371/journal.pcbi.1000672	2009-06-15	2010-01-07	2010-02-12
10.1371/journal.pntd.0003527	2014-05-20	2015-01-09	2015-02-27
10.1371/journal.pntd.0000321	2007-04-02	2008-09-18	2008-10-15
10.1371/journal.pone.0085122	2013-07-03	2013-11-22	2014-01-08
10.1371/journal.pntd.0001429	2011-02-23	2011-10-27	2011-12-20
10.1371/journal.pone.0099931	2014-03-12	2014-05-20	2014-06-20
10.1371/journal.pntd.0003467	2014-07-01	2014-12-10	2015-01-15
10.1371/journal.pmed.1001680	2013-07-15	2014-06-12	2014-07-22
10.1371/journal.ppat.1002371	2011-05-06	2011-09-26	2011-11-17
10.1371/journal.ppat.1004382	2014-05-02	2014-08-04	2014-09-11
10.1371/journal.ppat.1002122	2011-01-19	2011-05-02	2011-07-07
10.1371/journal.pcbi.1002361	2011-07-04	2011-12-08	2012-01-19
10.1371/journal.ppat.1000061	2007-11-26	2008-04-09	2008-05-09
10.1371/journal.pntd.0000775	2009-11-30	2010-06-24	2010-08-03
10.1371/journal.pgen.1004011	2013-06-30	2013-10-24	2013-12-19
10.1371/journal.pgen.1000294	2008-07-10	2008-11-04	2008-12-05
10.1371/journal.pgen.1004135	2013-07-26	2013-12-06	2014-02-13
10.1371/journal.pgen.1003684	2013-03-11	2013-06-14	2013-08-15
10.1371/journal.pone.0095395	2014-01-29	2014-03-26	2014-04-22
10.1371/journal.pgen.0020024	2005-08-15	2006-01-18	2006-04-28
10.1371/journal.pcbi.1003102	2012-11-30	2013-05-01	2013-07-25
10.1371/journal.pbio.1000125	2008-10-24	2009-04-28	2009-06-09
10.1371/journal.pgen.1004358	2013-12-19	2014-03-24	2014-06-19
10.1371/journal.pntd.0003297	2014-06-25	2014-09-25	2014-11-13
10.1371/journal.pntd.0003152	2014-06-19	2014-07-29	2014-10-09
10.1371/journal.pgen.1004480	2013-08-21	2014-05-17	2014-07-24
10.1371/journal.pgen.1001027	2010-03-31	2010-06-16	2010-07-22
10.1371/journal.ppat.1001120	2010-02-03	2010-08-25	2010-09-23
10.1371/journal.pntd.0000234	2007-12-21	2008-04-14	2008-05-14
10.1371/journal.ppat.0020083	2006-05-11	2006-07-10	2006-08-25
10.1371/journal.pcbi.1003216	2013-03-01	2013-07-25	2013-09-05
10.1371/journal.pgen.1004108	2013-04-26	2013-11-27	2014-01-16
10.1371/journal.ppat.1004167	2013-10-14	2014-04-07	2014-06-12
10.1371/journal.pmed.1001338	2012-01-16	2012-10-02	2012-11-13
10.1371/journal.pmed.0030347	2005-11-28	2006-06-20	2006-10-10
10.1371/journal.pone.0085649	2013-09-10	2013-11-29	2014-01-23
10.1371/journal.pcbi.0020052	2005-07-26	2006-04-05	2006-05-19
10.1371/journal.pgen.1004430	2013-11-21	2014-04-24	2014-06-26
10.1371/journal.ppat.1002793	2012-03-08	2012-05-23	2012-07-05
10.1371/journal.pbio.1002036	2014-07-10	2014-11-21	2015-01-06
10.1371/journal.pntd.0003140	2014-02-05	2014-07-23	2014-09-11
10.1371/journal.pone.0026998	2010-12-22	2011-10-07	2011-10-27
10.1371/journal.pcbi.1003852	2014-04-18	2014-08-07	2014-09-18
10.1371/journal.pcbi.1000569	2009-05-21	2009-10-19	2009-11-20
10.1371/journal.pone.0117468	2014-09-22	2014-12-25	2015-03-17
10.1371/journal.pone.0083862	2013-07-01	2013-11-08	2013-12-16
10.1371/journal.pcbi.0010079	2005-09-01	2005-11-29	2005-12-30
10.1371/journal.pntd.0001531	2011-10-25	2011-12-24	2012-02-28
10.1371/journal.pgen.1000238	2008-02-28	2008-09-25	2008-10-31
10.1371/journal.pgen.1002483	2011-07-01	2011-11-30	2012-02-16
10.1371/journal.ppat.0030182	2007-05-11	2007-10-15	2007-11-30
10.1371/journal.pbio.1001277	2011-06-14	2012-01-25	2012-03-06
10.1371/journal.pgen.1004012	2013-08-07	2013-10-24	2013-12-19
10.1371/journal.pcbi.1000381	2009-01-30	2009-04-01	2009-05-01
10.1371/journal.pone.0009110	2009-08-06	2010-01-19	2010-02-08
10.1371/journal.pmed.0020059	2004-09-21	2005-01-11	2005-02-15
10.1371/journal.pone.0012313	2010-07-23	2010-07-29	2010-08-26
10.1371/journal.pgen.1002610	2011-10-11	2012-02-06	2012-03-29
10.1371/journal.pone.0077806	2013-04-25	2013-09-04	2013-10-16
10.1371/journal.pntd.0001902	2012-06-26	2012-10-01	2012-11-15
10.1371/journal.pcbi.1002316	2011-07-25	2011-11-02	2012-01-19
10.1371/journal.pcbi.1002690	2011-10-15	2012-07-28	2012-09-27
10.1371/journal.pmed.1000369	2010-06-21	2010-10-07	2010-11-16
10.1371/journal.pntd.0001840	2012-01-21	2012-08-15	2012-10-18
10.1371/journal.pcbi.1000053	2007-08-31	2008-03-07	2008-04-25
10.1371/journal.pntd.0003028	2014-04-08	2014-06-06	2014-07-24
10.1371/journal.ppat.1004592	2014-06-19	2014-11-26	2015-01-08
10.1371/journal.ppat.1002711	2011-11-07	2012-04-05	2012-05-10
10.1371/journal.pcbi.1003318	2013-06-28	2013-09-18	2014-04-10
10.1371/journal.pcbi.0010028	2005-03-09	2005-07-11	2005-08-12
10.1371/journal.pone.0121006	2014-09-19	2015-02-09	2015-04-02
10.1371/journal.pcbi.1002395	2011-08-06	2012-01-05	2012-03-29
10.1371/journal.pcbi.1000886	2009-06-17	2010-07-14	2010-08-12
10.1371/journal.ppat.1004704	2014-10-30	2015-01-26	2015-03-04
10.1371/journal.pcbi.1000296	2008-06-09	2009-01-20	2009-02-27
10.1371/journal.pntd.0000035	2007-04-10	2007-06-01	2007-09-27
10.1371/journal.ppat.1001154	2009-12-02	2010-09-17	2010-10-14
10.1371/journal.pmed.1001828	2014-11-09	2015-04-10	2015-05-19
10.1371/journal.pcbi.1004245	2014-09-25	2015-03-17	2015-05-27
10.1371/journal.pbio.1001596	2013-02-05	2013-05-16	2013-06-25
10.1371/journal.pcbi.0030108	2006-12-08	2007-04-29	2007-06-08
10.1371/journal.pcbi.0010021	2005-03-18	2005-06-29	2005-07-29
10.1371/journal.pmed.0030517	2006-03-27	2006-10-27	2006-12-26
10.1371/journal.pgen.1001204	2010-07-14	2010-10-13	2010-11-11
10.1371/journal.pbio.1000529	2010-05-10	2010-09-14	2010-10-26
10.1371/journal.pone.0021237	2011-01-18	2011-05-24	2011-07-14
10.1371/journal.pgen.1003093	2012-05-29	2012-09-27	2012-12-20
10.1371/journal.pbio.1001781	2013-05-01	2013-12-20	2014-02-04
10.1371/journal.pgen.1000998	2010-02-02	2010-05-20	2010-06-24
10.1371/journal.pcbi.1002501	2012-01-12	2012-03-18	2012-04-26
10.1371/journal.pntd.0001699	2012-02-14	2012-05-02	2012-06-12
10.1371/journal.ppat.1004609	2014-07-04	2014-12-07	2015-01-15
10.1371/journal.pone.0118380	2014-07-22	2015-01-15	2015-02-25
10.1371/journal.pntd.0002831	2013-09-03	2014-03-17	2014-04-17
10.1371/journal.ppat.1002130	2010-11-18	2011-05-04	2011-08-25
10.1371/journal.pcbi.1000429	2008-12-29	2009-06-02	2009-07-03
10.1371/journal.pmed.1001751	2014-01-09	2014-09-19	2014-10-28
10.1371/journal.pcbi.1000801	2010-01-15	2010-04-29	2010-06-03
10.1371/journal.pbio.1001034	2010-12-07	2011-02-09	2011-03-29
10.1371/journal.ppat.1001157	2010-06-03	2010-09-21	2010-10-21
10.1371/journal.pgen.1004380	2013-07-08	2014-03-28	2014-05-15
10.1371/journal.pone.0119227	2015-01-14	2015-01-19	2015-03-05
10.1371/journal.ppat.1000124	2007-12-17	2008-07-14	2008-08-15
10.1371/journal.pone.0056227	2012-09-30	2013-01-07	2013-02-15
10.1371/journal.pbio.1001637	2013-03-26	2013-07-12	2013-08-20
10.1371/journal.pgen.1004153	2013-03-04	2013-12-16	2014-02-13
10.1371/journal.pcbi.0020161	2006-09-06	2006-10-12	2006-11-24
10.1371/journal.pcbi.1001015	2010-05-24	2010-10-27	2010-12-02
10.1371/journal.pcbi.1002514	2011-10-25	2012-03-26	2012-05-17
10.1371/journal.pntd.0000251	2008-03-14	2008-05-20	2008-06-18
10.1371/journal.pcbi.1003461	2013-09-09	2013-12-13	2014-02-06
10.1371/journal.pcbi.1003661	2013-11-25	2014-04-25	2014-06-19
10.1371/journal.pone.0099842	2014-04-16	2014-05-17	2014-06-16
10.1371/journal.pgen.1003879	2013-04-05	2013-08-29	2013-10-31
10.1371/journal.pcbi.1001129	2010-07-04	2011-03-31	2011-05-05
10.1371/journal.pgen.1000128	2007-10-27	2008-06-16	2008-07-18
10.1371/journal.pcbi.1000301	2008-08-26	2009-01-23	2009-03-06
10.1371/journal.pgen.1004465	2013-09-24	2014-05-14	2014-06-26
10.1371/journal.pone.0128651	2014-11-25	2015-04-29	2015-06-18
10.1371/journal.pone.0036835	2012-01-10	2012-04-07	2012-05-11
10.1371/journal.pmed.1001778	2014-06-18	2014-12-04	2015-01-22
10.1371/journal.pmed.1000144	2008-12-12	2009-07-31	2009-09-08
10.1371/journal.ppat.1001110	2009-12-22	2010-08-17	2010-09-16
10.1371/journal.pone.0103741	2014-04-16	2014-07-01	2014-08-11
10.1371/journal.pcbi.1004062	2014-07-28	2014-11-26	2015-02-27
10.1371/journal.pgen.1000318	2008-07-07	2008-11-25	2009-01-02
10.1371/journal.pcbi.1003215	2013-05-30	2013-07-23	2013-09-05
10.1371/journal.ppat.1004244	2014-01-10	2014-05-28	2014-07-03
10.1371/journal.ppat.1004984	2015-01-28	2015-05-27	2015-06-17
10.1371/journal.pmed.1000333	2010-03-10	2010-07-23	2010-08-31
10.1371/journal.pgen.1001312	2010-09-23	2011-01-14	2011-02-17
10.1371/journal.ppat.0030061	2006-10-23	2007-03-14	2007-05-11
10.1371/journal.pgen.1003423	2012-07-13	2013-02-14	2013-04-04
10.1371/journal.pntd.0001683	2012-01-07	2012-04-27	2012-06-19
10.1371/journal.pntd.0001004	2010-10-07	2010-11-23	2011-02-01
10.1371/journal.pcbi.1000833	2009-12-30	2010-05-25	2010-07-01
10.1371/journal.pmed.1001599	2013-07-23	2013-12-19	2014-02-04
10.1371/journal.ppat.1000951	2010-01-27	2010-05-12	2010-06-10
10.1371/journal.pntd.0001477	2011-08-15	2011-12-03	2012-02-28
10.1371/journal.pgen.1000020	2007-09-30	2008-01-10	2008-02-29
10.1371/journal.pntd.0002970	2014-01-15	2014-05-13	2014-07-24
10.1371/journal.pgen.1003253	2012-06-06	2012-12-04	2013-02-14
10.1371/journal.pbio.1001798	2013-08-23	2014-01-15	2014-02-25
10.1371/journal.pone.0023113	2011-06-10	2011-07-06	2011-08-03
10.1371/journal.pgen.1002035	2010-11-16	2011-02-07	2011-03-31
10.1371/journal.pcbi.1002561	2011-10-18	2012-04-27	2012-06-14
10.1371/journal.pmed.0050158	2007-11-09	2008-06-10	2008-07-29
10.1371/journal.ppat.1002691	2011-07-25	2012-03-27	2012-05-10
10.1371/journal.pgen.0030119	2007-02-13	2007-06-04	2007-07-20
10.1371/journal.pgen.1003857	2013-03-12	2013-08-21	2013-10-03
10.1371/journal.ppat.1000257	2008-06-09	2008-12-08	2009-01-09
10.1371/journal.ppat.1003295	2012-11-05	2013-02-25	2013-04-04
10.1371/journal.pgen.1003123	2012-07-27	2012-10-12	2013-01-03
10.1371/journal.ppat.0030139	2007-04-17	2007-08-09	2007-09-28
10.1371/journal.pntd.0002487	2013-05-30	2013-09-03	2013-10-10
10.1371/journal.pmed.0050029	2007-06-20	2007-11-30	2008-02-05
10.1371/journal.pmed.0030183	2005-10-07	2006-02-10	2006-06-06
10.1371/journal.pntd.0001644	2011-10-04	2012-03-30	2012-05-08
10.1371/journal.pgen.1000347	2008-09-11	2008-12-17	2009-01-23
10.1371/journal.pgen.1001390	2010-06-27	2011-05-02	2011-06-02
10.1371/journal.pmed.0050056	2007-04-10	2008-01-21	2008-03-18
10.1371/journal.pcbi.1004078	2014-06-26	2014-12-08	2015-04-16
10.1371/journal.pntd.0002818	2013-04-08	2014-03-11	2014-05-15
10.1371/journal.ppat.1004680	2014-08-17	2015-01-12	2015-02-18
10.1371/journal.pntd.0001854	2012-07-10	2012-08-26	2012-10-25
10.1371/journal.pbio.1001731	2013-07-15	2013-10-25	2013-12-10
10.1371/journal.ppat.1002569	2011-10-14	2012-01-24	2012-03-01
10.1371/journal.pcbi.0020059	2005-09-29	2006-04-13	2006-07-28
10.1371/journal.pone.0114866	2014-07-31	2014-11-14	2014-12-09
10.1371/journal.pgen.1001231	2010-05-11	2010-11-01	2010-12-02
10.1371/journal.pntd.0000994	2010-08-23	2011-03-03	2011-03-29
10.1371/journal.pntd.0003625	2014-10-01	2015-02-16	2015-04-08
10.1371/journal.pmed.0020294	2005-03-14	2005-07-25	2005-10-04
10.1371/journal.pgen.1001255	2010-08-09	2010-11-19	2010-12-23
10.1371/journal.pmed.1001782	2013-08-29	2014-12-17	2015-02-03
10.1371/journal.ppat.1002965	2012-06-16	2012-08-27	2012-10-18
10.1371/journal.pgen.1003925	2013-05-07	2013-09-05	2013-11-14
10.1371/journal.pntd.0001416	2011-07-07	2011-10-22	2011-12-13
10.1371/journal.pone.0044165	2012-06-09	2012-07-30	2012-08-30
10.1371/journal.pone.0103129	2014-05-09	2014-06-27	2014-07-21
10.1371/journal.pntd.0002230	2013-12-30	2013-04-10	2013-06-06
10.1371/journal.pcbi.1000356	2008-10-28	2009-03-11	2009-04-10
10.1371/journal.pmed.0030149	2005-07-05	2006-01-10	2006-04-18
10.1371/journal.pgen.1003902	2013-07-19	2013-09-06	2013-11-07
10.1371/journal.ppat.1004452	2014-01-26	2014-09-04	2014-10-30
10.1371/journal.pntd.0000701	2009-12-18	2010-04-08	2010-06-08
10.1371/journal.pone.0069791	2013-04-17	2013-06-17	2013-07-24
10.1371/journal.pgen.1004562	2014-01-19	2014-06-27	2014-08-28
10.1371/journal.pone.0033621	2011-10-31	2012-02-14	2012-03-28
10.1371/journal.pone.0019456	2011-01-24	2011-03-30	2011-04-29
10.1371/journal.pmed.0030307	2005-03-21	2006-05-09	2006-08-22
10.1371/journal.ppat.1004759	2013-10-08	2015-02-21	2015-04-15
10.1371/journal.ppat.1002243	2011-04-28	2011-07-12	2011-09-01
10.1371/journal.pntd.0003104	2014-02-01	2014-07-08	2014-09-04
10.1371/journal.pcbi.1002062	2010-10-22	2011-04-06	2011-05-19
10.1371/journal.pgen.1002315	2011-06-08	2011-08-03	2011-10-13
10.1371/journal.pmed.1000440	2010-08-16	2011-05-04	2011-06-14
10.1371/journal.pone.0037297	2011-12-21	2012-04-18	2012-05-21
10.1371/journal.pgen.1001190	2010-04-03	2010-09-30	2010-11-04
10.1371/journal.pcbi.1000288	2008-07-09	2009-01-05	2009-02-13
10.1371/journal.pone.0091212	2013-10-02	2014-02-10	2014-03-11
10.1371/journal.pmed.1000168	2009-02-27	2009-10-06	2009-11-17
10.1371/journal.pone.0059725	2012-11-19	2013-02-17	2013-04-02
10.1371/journal.pcbi.0030071	2006-10-25	2007-03-01	2007-04-20
10.1371/journal.pgen.1004027	2013-10-15	2013-10-30	2013-12-26
10.1371/journal.pgen.1004381	2013-12-12	2014-03-31	2014-06-05
10.1371/journal.pone.0073539	2013-04-12	2013-07-19	2013-09-12
10.1371/journal.pntd.0003459	2014-09-30	2014-12-05	2015-02-03
10.1371/journal.pone.0044150	2012-04-19	2012-07-30	2012-08-28
10.1371/journal.pcbi.1000723	2008-10-27	2010-02-25	2010-03-26
10.1371/journal.pmed.0030448	2006-04-10	2006-09-15	2006-10-24
10.1371/journal.pcbi.1003296	2013-02-28	2013-09-08	2013-10-24
10.1371/journal.pone.0046290	2012-05-31	2012-08-28	2012-10-03
10.1371/journal.pntd.0001387	2011-06-15	2011-09-19	2011-11-01
10.1371/journal.pone.0006813	2009-03-30	2009-06-22	2009-08-28
10.1371/journal.pntd.0000348	2008-06-09	2008-11-18	2008-12-16
10.1371/journal.pgen.0030005	2006-10-09	2006-11-09	2007-01-12
10.1371/journal.pone.0129911	2015-02-17	2015-05-14	2015-06-22
10.1371/journal.ppat.1002814	2011-12-16	2012-06-04	2012-07-19
10.1371/journal.ppat.1004878	2014-12-02	2015-04-13	2015-05-20
10.1371/journal.pcbi.1000757	2009-10-22	2010-03-23	2010-04-22
10.1371/journal.pcbi.1002052	2010-11-04	2011-03-29	2011-06-23
10.1371/journal.pgen.1004497	2013-11-20	2014-05-28	2014-07-17
10.1371/journal.pgen.1001233	2010-08-17	2010-11-02	2010-12-02
10.1371/journal.ppat.1000416	2008-12-22	2009-04-07	2009-05-01
10.1371/journal.pone.0096545	2014-01-22	2014-04-09	2014-05-05
10.1371/journal.pone.0033832	2011-06-21	2012-02-21	2012-04-25
10.1371/journal.pntd.0001725	2012-02-15	2012-05-24	2012-07-03
10.1371/journal.pone.0073476	2013-06-21	2013-07-19	2013-08-27
10.1371/journal.pgen.0020114	2006-01-17	2006-06-07	2006-07-21
10.1371/journal.pgen.1004004	2013-05-01	2013-10-22	2014-01-02
10.1371/journal.pgen.0020040	2005-11-08	2006-02-06	2006-03-31
10.1371/journal.pcbi.1000819	2010-01-31	2010-05-14	2010-06-17
10.1371/journal.pbio.1001490	2012-09-12	2013-01-09	2013-02-19
10.1371/journal.ppat.1003231	2012-05-06	2013-01-23	2013-03-21
10.1371/journal.pcbi.1003676	2013-12-16	2014-05-03	2014-06-12
10.1371/journal.pone.0044791	2012-04-16	2012-08-13	2012-09-12
10.1371/journal.ppat.1004117	2014-01-14	2014-03-28	2014-05-15
10.1371/journal.ppat.1003842	2013-07-21	2013-11-04	2013-12-19
10.1371/journal.pgen.1004566	2013-11-08	2014-06-30	2014-09-04
10.1371/journal.pone.0016265	2010-08-19	2010-12-08	2011-01-26
10.1371/journal.pgen.1002244	2011-05-13	2011-06-29	2011-09-01
10.1371/journal.pcbi.1003200	2013-04-09	2013-07-12	2013-08-22
10.1371/journal.pgen.1003704	2013-02-01	2013-06-22	2013-08-22
10.1371/journal.pcbi.1003091	2012-08-21	2013-04-26	2013-06-20
10.1371/journal.pone.0032676	2011-11-18	2012-02-02	2012-03-14
10.1371/journal.pcbi.1000956	2010-01-12	2010-09-10	2010-10-14
10.1371/journal.pgen.1005289	2014-10-15	2015-05-18	2015-06-12
10.1371/journal.ppat.1000307	2008-08-06	2009-01-22	2009-02-20
10.1371/journal.pmed.1001166	2011-06-24	2011-12-14	2012-01-31
10.1371/journal.pone.0018445	2011-01-03	2011-02-28	2011-04-13
10.1371/journal.pgen.1003110	2012-06-21	2012-10-06	2012-12-06
10.1371/journal.pone.0093568	2014-02-13	2014-03-05	2014-04-16
10.1371/journal.ppat.1002847	2012-02-26	2012-06-22	2012-08-02
10.1371/journal.pntd.0000399	2008-07-02	2009-02-26	2009-03-24
10.1371/journal.pone.0107070	2013-08-02	2014-08-13	2014-09-11
10.1371/journal.pntd.0000625	2009-06-19	2010-01-22	2010-03-09
10.1371/journal.ppat.1000266	2008-09-05	2008-12-15	2009-01-16
10.1371/journal.pbio.1001524	2012-09-04	2013-02-14	2013-03-26
10.1371/journal.pone.0071353	2013-02-14	2013-06-30	2013-08-15
10.1371/journal.pgen.1005149	2014-07-08	2015-03-17	2015-04-13
10.1371/journal.pone.0011183	2010-03-30	2010-05-25	2010-06-17
10.1371/journal.pcbi.1000756	2009-11-22	2010-03-23	2010-04-22
10.1371/journal.ppat.1001301	2010-08-25	2011-01-19	2011-02-24
10.1371/journal.pone.0103013	2014-03-28	2014-06-25	2014-07-21
10.1371/journal.ppat.1002699	2011-09-18	2012-03-29	2012-05-17
10.1371/journal.ppat.1000836	2009-10-06	2010-02-26	2010-03-26
10.1371/journal.pone.0128068	2015-03-10	2015-04-23	2015-06-01
10.1371/journal.pbio.1000428	2009-10-19	2010-06-08	2010-07-20
10.1371/journal.pcbi.1004047	2014-09-04	2014-11-19	2015-01-15
10.1371/journal.ppat.1000313	2008-11-13	2009-01-25	2009-02-27
10.1371/journal.pcbi.1003778	2014-03-18	2014-06-29	2014-08-14
10.1371/journal.pmed.1001083	2011-03-17	2011-07-21	2011-08-30
10.1371/journal.pcbi.1003940	2014-03-27	2014-09-26	2014-12-11
10.1371/journal.ppat.1000052	2007-11-14	2008-03-26	2008-04-25
10.1371/journal.pcbi.1000018	2007-11-19	2008-02-01	2008-03-07
10.1371/journal.pcbi.1002261	2011-04-26	2011-09-19	2011-11-03
10.1371/journal.pcbi.1002757	2012-01-10	2012-09-05	2012-11-01
10.1371/journal.pbio.1001935	2014-04-15	2014-07-18	2014-08-26
10.1371/journal.pone.0035046	2011-11-30	2012-03-12	2012-04-11
10.1371/journal.pbio.1001212	2011-04-11	2011-10-27	2011-12-06
10.1371/journal.ppat.1000711	2009-09-18	2009-11-25	2010-01-08
10.1371/journal.pgen.1004733	2014-05-29	2014-09-03	2014-10-23
10.1371/journal.pbio.1001726	2013-05-08	2013-10-23	2013-12-03
10.1371/journal.pbio.1001926	2014-02-26	2014-07-02	2014-08-12
10.1371/journal.pntd.0000654	2009-11-11	2010-03-02	2010-04-06
10.1371/journal.pntd.0000704	2010-02-02	2010-04-15	2010-06-08
10.1371/journal.pntd.0000888	2010-05-17	2010-10-20	2010-11-16
10.1371/journal.ppat.0030144	2006-12-20	2007-08-17	2007-10-12
10.1371/journal.pgen.1002994	2011-09-21	2012-08-13	2012-10-04
10.1371/journal.pntd.0002355	2012-10-03	2013-06-21	2013-08-08
10.1371/journal.pone.0066586	2012-12-02	2013-05-08	2013-06-21
10.1371/journal.pntd.0002639	2013-07-17	2013-12-01	2014-01-16
10.1371/journal.pcbi.1004099	2014-09-11	2014-12-21	2015-02-18
10.1371/journal.pgen.1001023	2009-12-09	2010-06-14	2010-07-15
10.1371/journal.pgen.1005255	2014-12-29	2015-04-29	2015-05-29
10.1371/journal.pcbi.1003367	2012-09-26	2013-10-15	2013-12-05
10.1371/journal.pcbi.1003235	2013-01-07	2013-08-07	2013-09-19
10.1371/journal.pgen.1004605	2013-10-02	2014-07-16	2014-09-11
10.1371/journal.pcbi.1002537	2011-12-27	2012-04-16	2012-06-07
10.1371/journal.pgen.1003446	2012-09-11	2013-02-27	2013-04-25
10.1371/journal.pgen.1004712	2014-04-10	2014-08-26	2014-10-23
10.1371/journal.pgen.0010015	2005-03-31	2005-06-09	2005-08-26
10.1371/journal.pcbi.1000702	2009-08-25	2010-02-02	2010-03-05
10.1371/journal.pcbi.1002379	2011-07-08	2011-12-21	2012-02-16
10.1371/journal.pcbi.1004074	2014-03-31	2014-12-05	2015-04-07
10.1371/journal.pgen.1000904	2009-10-26	2010-03-09	2010-04-08
10.1371/journal.pcbi.1000798	2009-07-16	2010-04-27	2010-06-03
10.1371/journal.pbio.1001869	2013-09-10	2014-04-16	2014-05-27
10.1371/journal.pntd.0002789	2012-10-22	2014-03-02	2014-05-22
10.1371/journal.pone.0114648	2014-01-24	2014-11-12	2015-02-18
10.1371/journal.ppat.1003829	2013-04-16	2013-10-28	2014-02-20
10.1371/journal.pcbi.1003721	2014-02-05	2014-05-28	2014-07-31
10.1371/journal.pcbi.1002101	2011-01-13	2011-05-09	2011-07-14
10.1371/journal.ppat.1002736	2011-12-04	2012-04-20	2012-06-14
10.1371/journal.ppat.1002202	2010-11-30	2011-06-24	2011-08-25
10.1371/journal.pcbi.1004066	2014-06-16	2014-11-30	2015-04-08
10.1371/journal.pgen.0030136	2007-05-10	2007-06-27	2007-08-17
10.1371/journal.pcbi.1000016	2007-10-23	2008-01-30	2008-02-29
10.1371/journal.pone.0091236	2013-09-21	2014-02-10	2014-03-13
10.1371/journal.pntd.0001301	2011-05-17	2011-07-19	2011-09-06
10.1371/journal.pmed.0040341	2006-03-01	2007-10-12	2007-12-11
10.1371/journal.pntd.0002492	2013-01-30	2013-09-09	2013-10-17
10.1371/journal.pntd.0001985	2012-09-14	2012-11-12	2012-12-20
10.1371/journal.pgen.1004395	2013-11-13	2014-04-07	2014-06-26
10.1371/journal.ppat.1000509	2009-02-17	2009-06-11	2009-07-10
10.1371/journal.pcbi.1000139	2007-12-12	2008-06-23	2008-08-01
10.1371/journal.ppat.1000710	2009-08-19	2009-11-25	2009-12-24
10.1371/journal.pmed.1001248	2011-08-25	2012-05-07	2012-06-26
10.1371/journal.pmed.1001460	2012-04-29	2013-04-24	2013-06-04
10.1371/journal.pgen.1003726	2013-02-14	2013-07-01	2013-08-15
10.1371/journal.ppat.1003577	2013-04-19	2013-07-08	2013-08-22
10.1371/journal.pcbi.1000109	2007-11-08	2008-05-30	2008-07-11
10.1371/journal.ppat.1001020	2009-04-23	2010-06-30	2010-07-29
10.1371/journal.pcbi.1002345	2011-08-03	2011-11-25	2012-01-12
10.1371/journal.pntd.0001780	2011-12-23	2012-06-23	2012-08-28
10.1371/journal.pone.0085469	2013-07-16	2013-11-28	2014-01-09
10.1371/journal.ppat.1004713	2014-10-06	2015-01-28	2015-03-26
10.1371/journal.pgen.1000363	2008-07-21	2008-12-31	2009-02-06
10.1371/journal.ppat.1002450	2011-06-07	2011-11-05	2011-12-29
10.1371/journal.pone.0062081	2013-01-02	2013-03-16	2013-04-16
10.1371/journal.pone.0007962	2009-06-03	2009-10-27	2009-11-23
10.1371/journal.pgen.1000824	2009-07-13	2009-12-21	2010-01-22
10.1371/journal.pcbi.1003727	2014-02-12	2014-05-30	2014-08-07
10.1371/journal.pcbi.1004003	2014-04-10	2014-10-27	2015-01-22
10.1371/journal.pgen.1003500	2012-05-04	2013-03-15	2013-06-06
10.1371/journal.pcbi.1000578	2009-02-23	2009-10-23	2009-11-26
10.1371/journal.pntd.0001439	2011-06-13	2011-11-01	2011-12-27
10.1371/journal.pone.0026224	2011-07-13	2011-09-22	2011-10-19
10.1371/journal.pbio.1000139	2008-10-17	2009-05-18	2009-06-30
10.1371/journal.pcbi.1003071	2012-12-14	2013-04-09	2013-06-06
10.1371/journal.pntd.0002877	2014-01-09	2014-04-04	2014-05-29
10.1371/journal.pcbi.1002400	2011-05-19	2012-01-11	2012-02-23
10.1371/journal.pgen.1002663	2011-10-31	2012-03-06	2012-05-17
10.1371/journal.pone.0028880	2011-07-25	2011-11-16	2012-02-08
10.1371/journal.pcbi.0020171	2006-06-06	2006-10-04	2006-11-10
10.1371/journal.pcbi.1002482	2011-09-02	2012-02-29	2012-04-26
10.1371/journal.pmed.0040078	2006-06-15	2007-01-08	2007-03-27
10.1371/journal.pcbi.1003403	2013-09-18	2013-11-07	2013-12-19
10.1371/journal.ppat.1003004	2012-05-18	2012-09-17	2012-11-29
10.1371/journal.ppat.1003608	2013-04-04	2013-07-24	2013-09-05
10.1371/journal.pone.0099243	2014-02-03	2014-05-12	2014-06-10
10.1371/journal.pone.0001315	2007-07-24	2007-11-21	2007-12-19
10.1371/journal.pmed.1001505	2013-03-22	2013-07-19	2013-08-27
10.1371/journal.pcbi.1003419	2013-07-15	2013-11-18	2014-01-23
10.1371/journal.pcbi.1004277	2014-10-03	2015-04-12	2015-05-22
10.1371/journal.ppat.1002087	2010-11-11	2011-04-13	2011-06-23
10.1371/journal.pntd.0003609	2014-11-05	2015-02-08	2015-03-16
10.1371/journal.pgen.1002498	2011-07-25	2011-12-09	2012-03-01
10.1371/journal.pone.0057542	2012-09-26	2013-01-25	2013-03-01
10.1371/journal.ppat.1001161	2010-07-13	2010-09-23	2010-10-28
10.1371/journal.pmed.1001053	2010-10-27	2011-05-18	2011-07-05
10.1371/journal.pone.0030885	2011-08-26	2011-12-27	2012-02-15
10.1371/journal.pntd.0001032	2010-09-23	2011-01-12	2011-06-07
10.1371/journal.ppat.0030174	2007-03-05	2007-10-02	2007-12-07
10.1371/journal.pbio.1001260	2011-08-23	2012-01-05	2012-02-21
